codgr;libgr;sougr;libsougr;codal;libal
1;pain et panification sèche;1;pain;7001;pain baguette
1;pain et panification sèche;1;pain;7004;pain grillé maison
1;pain et panification sèche;1;pain;7012;pain courant français boule à la levure
1;pain et panification sèche;1;pain;7100;pain de campagne ou bis
1;pain et panification sèche;1;pain;7110;pain complet ou intégral artisanal
1;pain et panification sèche;1;pain;7125;pain de seigle et froment
1;pain et panification sèche;1;pain;7126;pain de seigle aux raisins
1;pain et panification sèche;1;pain;7160;pain baguette sans sel
1;pain et panification sèche;1;pain;7200;pain de mie
1;pain et panification sèche;1;pain;7225;pain brioché ou viennois
1;pain et panification sèche;1;pain;7255;pain aux céréales artisanal
1;pain et panification sèche;1;pain;90003;pain type poilâne
1;pain et panification sèche;1;pain;91123;pain sans précision
1;pain et panification sèche;1;pain;92031;autre pain
1;pain et panification sèche;2;biscottes et panification sèche;7300;biscotte classique type heudebert lu
1;pain et panification sèche;2;biscottes et panification sèche;7310;biscotte sans adjonction de sel
1;pain et panification sèche;2;biscottes et panification sèche;7330;biscotte multicéréales type heudebert aux six céréales
1;pain et panification sèche;2;biscottes et panification sèche;7340;biscotte complète ou riche en fibres
1;pain et panification sèche;2;biscottes et panification sèche;7400;pain grillé au froment type tranches pain grillé pelletier lu braisotte jacquet
1;pain et panification sèche;2;biscottes et panification sèche;7411;tartine extrudée fourrée au chocolat ou aux fruits type craquinette de lu
1;pain et panification sèche;2;biscottes et panification sèche;7425;pain grillé multicéréales type pain grillé multicéréales heudebert lu
1;pain et panification sèche;2;biscottes et panification sèche;92030;autre biscotte
1;pain et panification sèche;3;autres produits de panification;7430;croûtons
1;pain et panification sèche;3;autres produits de panification;7500;chapelure ou panure
1;pain et panification sèche;3;autres produits de panification;7812;fougasse garnie
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32000;grains de blé soufflés au miel ou au caramel enrichis en vitamines et minéraux t
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32002;céréales riches en fibres enrichies en vitamines et minéraux type all-bran
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32003;céréales sucrées sans précision
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32005;pétales de maïs ou corn-flakes nature sucrés enrichis en vitamines et minéraux t
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32006;riz soufflé nature sucré enrichi en vitamines et minéraux type rice krispies kel
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32021;céréales nature enrichies en vitamines et minéraux type kellogg's spécial k ou n
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32121;pétales de maïs glacés au sucre enrichis en vitamines et minéraux type kellogg's
2;céréales pour petit déjeuner;1;céréales sucrées, glacées ou au miel;32133;boules de maïs soufflé au miel enrichies en vitamines et minéraux type miel pops
2;céréales pour petit déjeuner;2;céréales chocolatées;32001;céréales chocolatées sucrées non fourrées enrichies en vitamines et minéraux
